cluster,angle,major,minor,pixel,size,diameter,center_x,center_y,color_variance
43,0,0,0,7864,22359.47874016,168.72750970614385,132.18487171922686,232.39948578331638,30.231933572021415
44,0,0,0,3184,9052.97308096,107.36201993303402,1339.1102406407035,199.7898094849246,733.7186457373236
45,0,0,0,3792,10781.68150848,117.16511108404497,1899.7168536919833,207.03441075949365,70.83726566255407
46,0,0,0,3799,10801.58440156,117.27320412549787,1643.5762905501447,244.41378010002632,1214.041612618718
47,0,0,0,1875,5331.1320749999995,82.38815555707036,2549.96336928,220.62330730666665,17.35248952888889
48,0,0,0,14810,42108.8352164,231.54834091449916,1378.5757518838623,398.09952360567183,1128.724610239719
49,0,0,0,2536,7210.5338358399995,95.81616157226507,1452.562894006309,258.63023367507884,97.98688522499977
50,0,0,0,4095,11643.1924518,121.75620335980305,241.1266,279.13918925518925,30.868689503414778
51,0,0,0,2748,7813.30716912,99.74072218951662,900.3982786754002,248.98264752547306,466.8285738840899
52,0,0,0,4255,12098.1157222,124.1120435505243,1456.2074717273795,269.92554862514686,124.2749183721094
53,0,0,0,1792,5095.14062848,80.54399129772193,1340.4518412946427,300.9123641741071,111.9402851961097
54,0,0,0,3160,8984.7345904,106.95662382221666,702.158759556962,315.10382253164556,1042.2320612682263
55,0,0,0,5175,14713.924527,136.8734837944334,988.2419051207729,321.7657344541063,473.7802162570888
56,0,0,0,2720,7733.6955968,99.23128065680683,2171.9210686764704,367.546345367647,149.36980752595156
57,0,0,0,2004,5697.91396176,85.17516879121186,679.8129019960079,262.2798275449102,98.75786351448798
58,0,0,0,3356,9542.01559664,110.22373425955834,68.95332038140643,376.29291454112035,561.820995893005
59,0,0,0,2327,6616.29031388,91.78301840253587,332.30603532445207,281.2113492909325,475.5714337159361
60,0,0,0,2437,6929.05006228,93.92731523228234,471.464149281904,356.29745038982355,693.6350814425871
61,0,0,0,2958,8410.39396152,103.48162241967937,530.0043546315077,392.12586700473287,394.9682610868133
62,0,0,0,9757,27741.78968308,187.9413303832433,1768.4361658296605,364.99723345290556,1442.4868166487672
63,0,0,0,4858,13812.60779752,132.6150763062772,1984.2256106216548,350.6292888019761,714.0832560316106
64,0,0,0,5680,16149.7760992,143.39642104362375,1593.8636286267606,346.64590859154924,137.14250632315017
65,0,0,0,8787,24983.81735628,178.35465857794802,636.2454581768521,438.3008915670877,892.3028353246787
66,0,0,0,3079,8754.42968476,105.57692013996154,830.7620981487496,398.7893120493667,326.71359789271185
67,0,0,0,4888,13897.90591072,133.02392038478365,2418.6869358428803,425.9648910801964,982.1611498130965
68,0,0,0,5364,15251.30264016,139.35049921035628,857.7030452647278,410.5928435495898,94.70993924197607
69,0,0,0,3665,10420.5861626,115.18638105931778,987.322779372442,377.68533582537515,42.27665602683099
70,0,0,0,13449,38239.14414756,220.65264667685622,1833.4493050635735,534.7918268718863,2439.5267875958575
71,0,0,0,2275,6468.440251,90.7517157982693,1259.9190045714286,364.846244043956,52.97194174616592
72,0,0,0,1986,5646.7350938399995,84.79178273937227,1926.2270889224571,373.60961893252767,165.92080718098185
